Title,Link,Label,Source
"Rana Ayyub, William Dalrymple share old picture of curfew defaulters being punished as that of migrant labourers",https://www.opindia.com/2020/03/rana-ayyub-william-dalrymple-old-image-migrant-labourers-punished-fake-coronavirus/,No conclusion,opIndia
"UP: TOI journalist fear-mongers, insinuates that disinfectant spray is ‘chemical solution’ to kill humans",https://www.opindia.com/2020/03/toi-journalist-migrant-labourers-sprayed-disinfectant-false-claims-fear-mongering/,No conclusion,opIndia
"Media used a ‘not a doctor’ to fear monger about Lockdown, now furthers a contradictory report by him as that by John Hopkins University",https://www.opindia.com/2020/03/cddep-coronavirus-report-john-hopkins-university-deny-collaboration-ians-ndtv-ramanan-laxminarayan/,No conclusion,opIndia
"The Quint transforms an engineer to a doctor, peddles fake news saying India is already in the middle of community transmission of Coronavirus",https://www.opindia.com/2020/03/the-quint-engineer-convert-doctor-fake-news-covid-19-stage-3/,No conclusion,opIndia
Shekhar Gupta’s The Print publishes article denigrating India’s efforts to curb Coronavirus pandemic: Here’s why it’s completely off the mark,https://www.opindia.com/2020/03/shekhar-gupta-the-print-india-lockdown-coronvirus-fact-check/,No conclusion,opIndia
Here is why India Today’s chart on economic relief to poor for coronavirus crisis is a sad joke,https://www.opindia.com/2020/03/india-today-coronavirus-package-comparison-chart/,No conclusion,opIndia
Did Gujarat company ‘CoSara’ become ‘the first and only’ company to get ​license to make Covid-19 testing kits? Here are the facts,https://www.opindia.com/2020/03/fact-check-covid-19-testing-kit-gujarat-cosara-corruption-testing-kit-license/,No conclusion,opIndia
Director of AltNews Nirjhari Sinha shares old picture to protest against PM Modi’s call to stay home amidst coronavirus outbreak,https://www.opindia.com/2020/03/nirjhari-sinha-altnews-director-shares-old-pic-protest-lockdown-modi-coronavirus/,No conclusion,opIndia
"Caravan editor spreads fake news, claims Coronavirus tests are not free in India",https://www.opindia.com/2020/03/coronavirus-test-cost-india-free-fact-check/,No conclusion,opIndia
Coronavirus: Shekhar Gupta’s ThePrint republishes five-days old article claiming that Singapore has recorded zero Covid-19 deaths,https://www.opindia.com/2020/03/coronavirus-singapore-death-old-article-the-conversation/,No conclusion,opIndia
"Coronavirus: AltNews founder, Shekhar Gupta and others spread unverified claims by a fake twitter account",https://www.opindia.com/2020/03/coronavirus-pratik-sinha-shekhar-gupta-shehla-rashid-spread-fake-news-n95-masks/,No conclusion,opIndia
"Shashi Tharoor shares dubious claims hailing Kerala govt from a hoax site, then refuses to delete it because ‘it is viral now’",https://www.opindia.com/2020/03/shashi-tharoor-fake-news-refuses-to-delete-tweet-hoax-site-kerala-coronavirus/,No conclusion,opIndia
"The truth behind “expert” Ramanan Laxminarayanan, who is being promoted by media to create Coronavirus panic",https://www.opindia.com/2020/03/ramanan-laxminarayanan-coronavirus-covid-19-panic-media-promote-commercial-interest/,No conclusion,opIndia
